Language,Worked,Worked_per,Wanted,Wanted_per,Salary,Year,Category,Category2
Hadoop,0.0247534267361286,2.5,0.0631531030296899,2.5,66.0,2018,Webframe,MiscTech
Node.js,0.258944919326286,25.9,0.2843761064184917,25.9,52.0,2018,Webframe,Programming
React.js,0.1450306003742855,14.5,0.2401092509230691,14.5,58.0,2018,Webframe,Webframe
Spark,0.0250366698700116,2.5,0.0537555004805017,2.5,66.0,2018,Webframe,Webframe
Spring,0.0918415861615497,9.2,0.0815639067320823,9.2,48.0,2018,Webframe,Webframe
TensorFlow,0.0407263163218855,4.1,0.1476910626675433,4.1,54.0,2018,Webframe,MiscTech
Torch/PyTorch,0.0087805371503717,0.9,0.041252339284811,0.9,45.0,2018,Webframe,MiscTech
Xamarin,0.0383996762935612,3.8,0.0648424460067776,3.8,46.0,2018,Webframe,Platforms
AmazonDynamoDB,0.0349400637297051,3.5,0.0613120226594507,3.5,78.0,2018,Database,Database
AmazonRDS/Aurora,0.0342724191998381,3.4,0.0468362753527894,3.4,75.0,2018,Database,Database
AmazonRedshift,0.0148095695715947,1.5,0.0321986748267664,1.5,90.0,2018,Database,Database
ApacheHBase,0.011198219614587,1.1,0.0233877901977644,1.1,58.0,2018,Database,Database
ApacheHive,0.014546558090132,1.5,0.0268372869354104,1.5,70.0,2018,Database,Database
Cassandra,0.0247230792574983,2.5,0.058469475494411,2.5,69.0,2018,Database,Database
Elasticsearch,0.0941985736685043,9.4,0.1422082848616661,9.4,62.0,2018,Database,Database
GoogleBigQuery,0.0140003034747863,1.4,0.0509433007940923,1.4,73.0,2018,Database,Database
GoogleCloudStorage,0.0367609124475241,3.7,0.0760204339689444,3.7,50.0,2018,Database,Database
IBMDb2,0.0169642405543472,1.7,0.0091548227201456,1.7,56.0,2018,Database,Database
MariaDB,0.0895554094380658,9.0,0.0721056092256335,9.0,41.0,2018,Database,Database
Memcached,0.0365687117495321,3.7,0.0362854686156491,3.7,63.0,2018,Database,Database
"MicrosoftAzure(Tables,CosmosDB,SQL,etc)",0.05263264377118,5.3,0.08421425319913,5.3,62.0,2018,Database,Database
MongoDB,0.1738202417682464,17.4,0.2116837792726721,17.4,46.0,2018,Database,Database
MySQL,0.3935966820090031,39.4,0.2221941227049719,39.4,41.0,2018,Database,Database
Neo4j,0.0159020788022861,1.6,0.0383389813363006,1.6,60.0,2018,Database,Database
Oracle,0.0746143341257397,7.5,0.0440139598401699,7.5,48.0,2018,Database,Database
PostgreSQL,0.2202822315512619,22.0,0.2024480299428455,22.0,53.0,2018,Database,Database
Redis,0.1208234282535026,12.1,0.1435233422689798,12.1,60.0,2018,Database,Database
SQLServer,0.2760912447524151,27.6,0.1643518284355875,27.6,50.0,2018,Database,Database
SQLite,0.131869910474938,13.2,0.0852056041677204,13.2,45.0,2018,Database,Database
Assembly,0.0582671589702088,5.8,0.0421324161650902,5.8,39.0,2018,Programming,Programming
Bash/Shell,0.3153305346214152,31.5,0.2099135096859036,31.5,58.0,2018,Programming,Programming
C,0.1825097364827272,18.3,0.1043548631834505,18.3,42.0,2018,Programming,Programming
C#,0.2726619796671893,27.3,0.2065550553841485,27.3,52.0,2018,Programming,Programming
C++,0.2010216984472206,20.1,0.1546608669263062,20.1,44.0,2018,Programming,Programming
CSS,0.515694704364979,51.6,0.3054878357189823,51.6,48.0,2018,Programming,Programming
Clojure,0.010439532648829,1.0,0.0274138890293864,1.0,75.0,2018,Programming,Programming
Cobol,0.0059683374639623,0.6,0.004693743361489,0.6,54.0,2018,Programming,Programming
CoffeeScript,0.0263314956249051,2.6,0.0187749734459562,2.6,62.0,2018,Programming,Programming
Delphi/ObjectPascal,0.020484548075464,2.0,0.0103788376915684,2.0,41.0,2018,Programming,Programming
Erlang,0.0089626220221536,0.9,0.0279196803398917,0.9,64.0,2018,Programming,Programming
F#,0.0112791462242678,1.1,0.0379545799403166,1.1,71.0,2018,Programming,Programming
Go,0.0559607505943047,5.6,0.1570886652167315,5.6,70.0,2018,Programming,Programming
Groovy,0.0341206818066865,3.4,0.0206868645996661,3.4,68.0,2018,Programming,Programming
HTML,0.542491527995549,54.2,0.3215719993930504,54.2,48.0,2018,Programming,Programming
Hack,0.0025694198573668,0.3,0.0073845531333771,0.3,70.0,2018,Programming,Programming
Haskell,0.0198371351980173,2.0,0.0517626827171109,2.0,48.0,2018,Programming,Programming
Java,0.3593242628091649,35.9,0.2281725759951444,35.9,43.0,2018,Programming,Programming
JavaScript,0.5531940721258409,55.3,0.3891052551717161,55.3,50.0,2018,Programming,Programming
Julia,0.0043498052703454,0.4,0.0136968286884831,0.4,54.0,2018,Programming,Programming
Kotlin,0.0354863183450508,3.5,0.1213089879115876,3.5,48.0,2018,Programming,Programming
Lua,0.0276465530322189,2.8,0.0236305700268069,2.8,54.0,2018,Programming,Programming
Matlab,0.0461686308229224,4.6,0.0212938141722725,4.6,38.0,2018,Programming,Programming
Objective-C,0.0557382024176824,5.6,0.0359010672196651,5.6,54.0,2018,Programming,Programming
Ocaml,0.0047544383187496,0.5,0.0115623893581508,0.5,68.0,2018,Programming,Programming
PHP,0.2434980527034545,24.3,0.1238581761165343,24.3,37.0,2018,Programming,Programming
Perl,0.0331799099691467,3.3,0.0195134287592939,3.3,68.0,2018,Programming,Programming
Python,0.3071063679125992,30.7,0.3317485205604167,30.7,53.0,2018,Programming,Programming
R,0.0486874715492387,4.9,0.0712255323453543,4.9,54.0,2018,Programming,Programming
Ruby,0.0800263011481462,8.0,0.079146224267867,8.0,66.0,2018,Programming,Programming
Rust,0.0187850892721663,1.9,0.0794800465328005,1.9,66.0,2018,Programming,Programming
SQL,0.4518739568054221,45.2,0.283354407971271,45.2,50.0,2018,Programming,Programming
Scala,0.0345961256385615,3.5,0.0629103232006474,3.5,68.0,2018,Programming,Programming
Swift,0.063830863385767,6.4,0.0982044408477062,6.4,51.0,2018,Programming,Programming
TypeScript,0.1378382479389004,13.8,0.1709169996459461,13.8,54.0,2018,Programming,Programming
VB.NET,0.0531485509078954,5.3,0.0156390673208234,5.3,46.0,2018,Programming,Programming
VBA,0.0385412978605027,3.9,0.0107935865661827,3.9,48.0,2018,Programming,Programming
VisualBasic6,0.0312275555105963,3.1,0.0069799200849729,3.1,41.0,2018,Programming,Programming
AWS,0.2396858791894963,24.0,0.2958721015267261,24.0,74.0,2019,Platforms,Platforms
Android,0.2434548788857261,24.3,0.2784446969611737,24.3,42.0,2019,Platforms,Platforms
Arduino,0.0961151176265427,9.6,0.1253670555674313,9.6,48.0,2019,Platforms,Platforms
Docker,0.2836537920637242,28.4,0.3708583193636578,28.4,66.0,2019,Platforms,Platforms
GoogleCloudPlatform,0.1116973999527468,11.2,0.1790668631796856,11.2,60.0,2019,Platforms,Platforms
Heroku,0.0959351057007526,9.6,0.0846731095935105,9.6,54.0,2019,Platforms,Platforms
IBMCloudorWatson,0.0170336284778866,1.7,0.0330434391278422,1.7,65.0,2019,Platforms,Platforms
Kubernetes,0.0768988445484513,7.7,0.2001845122239348,7.7,78.0,2019,Platforms,Platforms
Linux,0.4810031164564652,48.1,0.4745339378733841,48.1,57.0,2019,Platforms,Platforms
MacOS,0.2003307719136392,20.0,0.1961342438936579,20.0,67.0,2019,Platforms,Platforms
MicrosoftAzure,0.1071971018079947,10.7,0.1338613683156509,10.7,68.0,2019,Platforms,Platforms
Other(s):,0.0320871257720824,3.2,0.0297132185007256,3.2,61.0,2019,Platforms,Programming
RaspberryPi,0.1370678307437867,13.7,0.1999032435898878,13.7,62.0,2019,Platforms,Platforms
Slack,0.188146214686723,18.8,0.1524250981627533,18.8,60.0,2019,Platforms,Platforms
Windows,0.4571177840531935,45.7,0.3174397803854505,45.7,52.0,2019,Platforms,Platforms
WordPress,0.1304523924710012,13.0,0.0740974089533431,13.0,42.0,2019,Platforms,Platforms
iOS,0.1175252860502008,11.8,0.1630683032750919,11.8,59.0,2019,Platforms,Platforms
.NET,0.2462675652261962,24.6,0.1781330513146496,24.6,59.0,2019,MiscTech,MiscTech
.NETCore,0.1561040918960881,15.6,0.1921289785448286,15.6,62.0,2019,MiscTech,MiscTech
Ansible,0.0619241024717887,6.2,0.0729048299449838,6.2,73.0,2019,MiscTech,Platforms
ApacheSpark,0.0381850297582214,3.8,0.0747837044204178,3.8,75.0,2019,MiscTech,MiscTech
Chef,0.0166061001541352,1.7,0.02423410550949,1.7,100.0,2019,MiscTech,Platforms
Cordova,0.0466568410157172,4.7,0.0335384719237649,4.7,37.0,2019,MiscTech,MiscTech
CryEngine,0.0038702564044867,0.4,0.0132646287816567,0.4,35.0,2019,MiscTech,MiscTech
Flutter,0.0226139981773792,2.3,0.0822091963592588,2.3,41.0,2019,MiscTech,MiscTech
Hadoop,0.0321321287535299,3.2,0.070440916710732,3.2,72.0,2019,MiscTech,MiscTech
Node.js,0.3286005197844357,32.9,0.353464667034191,32.9,58.0,2019,MiscTech,Programming
